no,BanglaName,EnglishName,OrganizationType,EnglishParent,BanglaParent,domainname
251,"রোগতত্ত্ব, রোগ নিয়ন্ত্রণ ও গবেষণা ইনস্টিটিউট","Institute of Epidemiology, Disease Control and Research",Others,Health Services Division,স্বাস্থ্য সেবা বিভাগ,iedcr.gov.bd
252,ন্যাশনাল ইলেকট্রো- মেডিক্যাল ইকুইপমেন্ট মেইনটেন্যান্স ওয়ার্কশপ এন্ড ট্রেনিং সেন্টার,National Electro- Medical Equipment Maintenance Workshop & Training Center,Others,Health Services Division,স্বাস্থ্য সেবা বিভাগ,nememw.gov.bd
253,ন্যাশনাল ইনস্টিটিউট অব ল্যাবরেটরি মেডিসিন এন্ড রেফারেল সেন্টার,National Institute of Laboratory Medicine and Referral Centre,Others,Health Services Division,স্বাস্থ্য সেবা বিভাগ,nilmrc.gov.bd
254,জাতীয় প্রতিষেধক ও সামাজিক চিকিৎসা প্রতিষ্ঠান (নিপসম),National Institute of Preventive and Social Medicine (NIPSOM),Others,Health Services Division,স্বাস্থ্য সেবা বিভাগ,nipsom.gov.bd
255,জাতীয় তামাক নিয়ন্ত্রণ সেল,National Tobacco Control Cell,Others,Health Services Division,স্বাস্থ্য সেবা বিভাগ,ntcc.gov.bd
256,বাংলাদেশ ফার্মেসী কাউন্সিল,Pharmacy Council of Bangladesh,Others,Health Services Division,স্বাস্থ্য সেবা বিভাগ,pcb.gov.bd
257,ট্রান্সপোর্ট এন্ড ইকুইপমেন্ট মেইনটেনেন্স অর্গানাইজেশন (টেমো),Transport & Equipment Maintenance Organization (TEMO),Others,Health Services Division,স্বাস্থ্য সেবা বিভাগ,temo.gov.bd
258,স্বাস্থ্য শিক্ষা ও পরিবার কল্যাণ বিভাগ,Medical Education and Family Welfare Division,Division,Ministry of Health & Family Welfare,স্বাস্থ্য ও পরিবার কল্যাণ মন্ত্রণালয়,mefwd.gov.bd
259,পরিবার পরিকল্পনা অধিদপ্তর,Directorate General of Family Planning,Directorate,Medical Education and Family Welfare Division,স্বাস্থ্য শিক্ষা ও পরিবার কল্যাণ বিভাগ,dgfp.gov.bd
260,স্বাস্থ্য শিক্ষা অধিদপ্তর,Directorate General of Medical Education(DGME),Directorate,Medical Education and Family Welfare Division,স্বাস্থ্য শিক্ষা ও পরিবার কল্যাণ বিভাগ,dgme.gov.bd
261,বিএভিএস মেটারনিটি হাসপাতাল,BAVAS,Others,Medical Education and Family Welfare Division,স্বাস্থ্য শিক্ষা ও পরিবার কল্যাণ বিভাগ,bavs.gov.bd
262,বাংলাদেশ বোর্ড অব ইউনানী এন্ড আয়ুর্বেদিক সিস্টেমস্‌ অব মেডিসিন,Bangladesh Board of Unani and Ayurvedic Systems of Medicine,Others,Medical Education and Family Welfare Division,স্বাস্থ্য শিক্ষা ও পরিবার কল্যাণ বিভাগ,bbuasm.portal.gov.bd
263,বাংলাদেশ কলেজ অব ফিজিশিয়ানস্ এন্ড সার্জনস্,Bangladesh College of Physicians and Surgeons,Others,Medical Education and Family Welfare Division,স্বাস্থ্য শিক্ষা ও পরিবার কল্যাণ বিভাগ,bcps.gov.bd
264,বাংলাদেশ জাতীয় পুষ্টি পরিষদ কার্যালয়,Bangladesh National Nutrition Council Office,Others,Medical Education and Family Welfare Division,স্বাস্থ্য শিক্ষা ও পরিবার কল্যাণ বিভাগ,bnnc.gov.bd
265,"কেন্দ্রীয় পণ্যাগার, পরিবার পরিকল্পনা","Central Warehouse, Family Planning",Others,Medical Education and Family Welfare Division,স্বাস্থ্য শিক্ষা ও পরিবার কল্যাণ বিভাগ,cwh.dgfp.gov.bd
266,ঢাকা মেডিকেল কলেজ,Dhaka Medical College,Others,Medical Education and Family Welfare Division,স্বাস্থ্য শিক্ষা ও পরিবার কল্যাণ বিভাগ,dmc.gov.bd
267,মাতৃ ও ‍শিশুস্বাস্থ্য প্রশিক্ষণ প্রতিষ্ঠান,Maternal and Child Health Training Institute,Others,Medical Education and Family Welfare Division,স্বাস্থ্য শিক্ষা ও পরিবার কল্যাণ বিভাগ,mchti-mirpur.dgfp.gov.bd
268,জাতীয় জনসংখ্যা গবেষণা ও প্রশিক্ষণ ইনস্টিটিউট (নিপোর্ট),National Institute of Population Research and Training (NIPORT),Others,Medical Education and Family Welfare Division,স্বাস্থ্য শিক্ষা ও পরিবার কল্যাণ বিভাগ,niport.gov.bd
269,"রাজশাহী মেডিকেল কলেজ হাসপাতাল, রাজশাহী","Rajshahi Medical College Hospital, Rajshahi",Others,Medical Education and Family Welfare Division,স্বাস্থ্য শিক্ষা ও পরিবার কল্যাণ বিভাগ,rmch.portal.gov.bd
270,শহীদ জিয়াউর রহমান মেডিকেল কলেজ হাসপাতাল,Shaheed Ziaur Rahman Medical College Hospital,Others,Medical Education and Family Welfare Division,স্বাস্থ্য শিক্ষা ও পরিবার কল্যাণ বিভাগ,szrmch.portal.gov.bd
271,"শহীদ জিয়াউর রহমান মেডিকেল কলেজ, বগুড়া","Shaheed Ziaur Rahman medical college, Bogra",Others,Medical Education and Family Welfare Division,স্বাস্থ্য শিক্ষা ও পরিবার কল্যাণ বিভাগ,szmc.portal.gov.bd
272,শেখ হাসিনা মেডিকেল কলেজ,Sheikh Hasina Medical College,Others,Medical Education and Family Welfare Division,স্বাস্থ্য শিক্ষা ও পরিবার কল্যাণ বিভাগ,shmc.portal.gov.bd
273,শের-ই-বাংলা মেডিকেল কলেজ,Sher-e-Bangla Medical College,Others,Medical Education and Family Welfare Division,স্বাস্থ্য শিক্ষা ও পরিবার কল্যাণ বিভাগ,sbmc.gov.bd
274,বাংলাদেশ রাষ্ট্রীয় চিকিৎসা অনুষদ,The State Medical Faculty of Bangladesh,Others,Medical Education and Family Welfare Division,স্বাস্থ্য শিক্ষা ও পরিবার কল্যাণ বিভাগ,smfb.gov.bd
275,স্বরাষ্ট্র মন্ত্রণালয়,MINISTRY OF HOME AFFAIRS,Ministry/Division,,,moha.gov.bd
