no,BanglaName,EnglishName,OrganizationType,EnglishParent,BanglaParent,domainname
323,বাংলাদেশ চলচ্চিত্র উন্নয়ন কর্পোরেশন,Bangladesh Film Development Corporation (BFDC),Others,Ministry of Information and Broadcasting,তথ্য ও সম্প্রচার মন্ত্রণালয়,fdc.gov.bd
324,বাংলাদেশ প্রেস কাউন্সিল,Bangladesh Press Council,Others,Ministry of Information and Broadcasting,তথ্য ও সম্প্রচার মন্ত্রণালয়,presscouncil.gov.bd
325,বাংলাদেশ সংবাদ সংস্থা (বাসস),Bangladesh Sangbad Sangstha (BSS),Others,Ministry of Information and Broadcasting,তথ্য ও সম্প্রচার মন্ত্রণালয়,bss.org.bd
326,বাংলাদেশ টেলিভিশন,Bangladesh Television,Others,Ministry of Information and Broadcasting,তথ্য ও সম্প্রচার মন্ত্রণালয়,btv.gov.bd
327,তথ্য কমিশন বাংলাদেশ,Information Commission Bangladesh,Others,Ministry of Information and Broadcasting,তথ্য ও সম্প্রচার মন্ত্রণালয়,infocom.gov.bd
328,জাতীয় গণমাধ্যম ইনস্টিটিউট,National Institute of Mass Communication,Others,Ministry of Information and Broadcasting,তথ্য ও সম্প্রচার মন্ত্রণালয়,nimc.gov.bd
329,তথ্য অধিদফতর (পিআইডি),Press Information Department(PID),Others,Ministry of Information and Broadcasting,তথ্য ও সম্প্রচার মন্ত্রণালয়,pressinform.gov.bd
330,প্রেস ইনস্টিটিউট বাংলাদেশ (পিআইবি),Press Institute Bangladesh (PIB),Others,Ministry of Information and Broadcasting,তথ্য ও সম্প্রচার মন্ত্রণালয়,pib.gov.bd
331,বস্ত্র ও পাট মন্ত্রণালয়,Ministry of Textiles & Jute,Ministry/Division,,,motj.gov.bd
332,পাট অধিদপ্তর,Department of Jute,Directorate,Ministry of Textiles & Jute,বস্ত্র ও পাট মন্ত্রণালয়,dgjute.gov.bd
333,বস্ত্র অধিদপ্তর,Department of Textiles,Directorate,Ministry of Textiles & Jute,বস্ত্র ও পাট মন্ত্রণালয়,dot.gov.bd
334,বাংলাদেশ তাঁত বোর্ড,Bangladesh Handloom Board (BHB),Others,Ministry of Textiles & Jute,বস্ত্র ও পাট মন্ত্রণালয়,bhb.gov.bd
335,বাংলাদেশ জুট কর্পোরেশন,Bangladesh Jute Corporation,Others,Ministry of Textiles & Jute,বস্ত্র ও পাট মন্ত্রণালয়,bjc.gov.bd
336,বাংলাদেশ পাটকল করপোরেশন,Bangladesh Jute Mills Corporation (BJMC),Others,Ministry of Textiles & Jute,বস্ত্র ও পাট মন্ত্রণালয়,bjmc.gov.bd
337,বাংলাদেশ রেশম উন্নয়ন বোর্ড,Bangladesh Sericulture Development Board (BSDB),Others,Ministry of Textiles & Jute,বস্ত্র ও পাট মন্ত্রণালয়,bsb.gov.bd
338,বাংলাদেশ টেক্সটাইল মিলস্ করপোরেশন,Bangladesh Textile Mills Corporation,Others,Ministry of Textiles & Jute,বস্ত্র ও পাট মন্ত্রণালয়,btmc.gov.bd
339,"জুট ডাইভারসিফিকেশন প্রমোশন সেন্টার (জেডিপিসি), পিএলসি",Jute Diversification Promotion Centre PLC,Others,Ministry of Textiles & Jute,বস্ত্র ও পাট মন্ত্রণালয়,jdpc.gov.bd
340,শ্রম ও কর্মসংস্থান মন্ত্রণালয়,Ministry of Labour and Employment,Ministry/Division,,,mole.gov.bd
341,কলকারখানা ও প্রতিষ্ঠান পরিদর্শন অধিদপ্তর,Department of Inspection for Factories and Establishments,Directorate,Ministry of Labour and Employment,শ্রম ও কর্মসংস্থান মন্ত্রণালয়,dife.gov.bd
342,শ্রম অধিদপ্তর,Department of Labour,Directorate,Ministry of Labour and Employment,শ্রম ও কর্মসংস্থান মন্ত্রণালয়,dol.gov.bd
343,বাংলাদেশ শ্রমিক কল্যাণ ফাউন্ডেশন,Bangladesh Labour Welfare Foundation,Others,Ministry of Labour and Employment,শ্রম ও কর্মসংস্থান মন্ত্রণালয়,blwf.gov.bd
344,কেন্দ্রীয় তহবিল,Central Fund,Others,Ministry of Labour and Employment,শ্রম ও কর্মসংস্থান মন্ত্রণালয়,centralfund.gov.bd
345,শ্রম আপীল টাইব্যুনাল,Labour Appeal Taibunal,Others,Ministry of Labour and Employment,শ্রম ও কর্মসংস্থান মন্ত্রণালয়,lat.portal.gov.bd
346,নিম্নতম মজুরী বোর্ড,Minimum Wages Board,Others,Ministry of Labour and Employment,শ্রম ও কর্মসংস্থান মন্ত্রণালয়,mwb.portal.gov.bd
347,"আইন, বিচার ও সংসদ বিষয়ক মন্ত্রণালয়","Ministry of Law, Justice and Parliamentary Affairs",Ministry/Division,,,minlaw.gov.bd
348,আইন ও বিচার বিভাগ,Law and Justice Division,Division,"Ministry of Law, Justice and Parliamentary Affairs","আইন, বিচার ও সংসদ বিষয়ক মন্ত্রণালয়",lawjusticediv.gov.bd
349,বাংলাদেশ আইনগত সহায়তা অধিদপ্তর,Directorate of Bangladesh Legal Aid,Directorate,Law and Justice Division,আইন ও বিচার বিভাগ,dbla.gov.bd
350,নিবন্ধন অধিদপ্তর,Directorate of Registration,Directorate,Law and Justice Division,আইন ও বিচার বিভাগ,rd.gov.bd
351,বিচার প্রশাসন প্রশিক্ষণ ইনস্টিটিউট,Judicial Administration Training Institute,Others,Law and Justice Division,আইন ও বিচার বিভাগ,jati.portal.gov.bd
352,লেজিসলেটিভ ও সংসদ বিষয়ক বিভাগ,Legislative and Parliamentary Affairs Division,Division,"Ministry of Law, Justice and Parliamentary Affairs","আইন, বিচার ও সংসদ বিষয়ক মন্ত্রণালয়",legislativediv.gov.bd
353,"আইন কমিশন, বাংলাদেশ","Law Commission, Bangladesh",Others,Legislative and Parliamentary Affairs Division,লেজিসলেটিভ ও সংসদ বিষয়ক বিভাগ,lc.portal.gov.bd
354,লেজিসলেটিভ প্রশিক্ষণ ও গবেষণা ইনস্টিটিউট,Legislative Training and Research Institute,Others,Legislative and Parliamentary Affairs Division,লেজিসলেটিভ ও সংসদ বিষয়ক বিভাগ,ltri.portal.gov.bd
355,জাতীয় মানবাধিকার কমিশন বাংলাদেশ,National Human Rights Commission Bangladesh,Others,Legislative and Parliamentary Affairs Division,লেজিসলেটিভ ও সংসদ বিষয়ক বিভাগ,nhrc.org.bd
356,ভূমি মন্ত্রণালয়,Ministry Of Land,Ministry/Division,,,minland.gov.bd
357,ভূমি রেকর্ড ও জরিপ অধিদপ্তর,Land Record and Survey Department,Directorate,Ministry Of Land,ভূমি মন্ত্রণালয়,dlrs.gov.bd
358,হিসাব নিয়ন্ত্রক (রাজস্ব)-এর দপ্তর,Controller of Accounts (Revenue),Others,Ministry Of Land,ভূমি মন্ত্রণালয়,coa-revenue.gov.bd
359,ভূমি প্রশাসন প্রশিক্ষণ কেন্দ্র,Land Administration Training Centre (LATC),Others,Ministry Of Land,ভূমি মন্ত্রণালয়,latc.gov.bd
360,ভূমি আপীল বোর্ড,Land Appeal Board,Others,Ministry Of Land,ভূমি মন্ত্রণালয়,lab.gov.bd
361,ভূমি সংস্কার বোর্ড,Land Reforms Board,Others,Ministry Of Land,ভূমি মন্ত্রণালয়,lrb.gov.bd
362,"স্থানীয় সরকার, পল্লী উন্নয়ন ও সমবায় মন্ত্রণালয়","Ministry of Local Government, Rural Development and Co-operatives",Ministry/Division,,,molgrdc.gov.bd
363,স্থানীয় সরকার বিভাগ,Local Government Division,Division,"Ministry of Local Government, Rural Development and Co-operatives","স্থানীয় সরকার, পল্লী উন্নয়ন ও সমবায় মন্ত্রণালয়",lgd.gov.bd
364,জনস্বাস্থ্য প্রকৌশল অধিদপ্তর,Department of Public Health Engineering,Directorate,Local Government Division,স্থানীয় সরকার বিভাগ,dphe.gov.bd
365,স্থানীয় সরকার প্রকৌশল অধিদপ্তর,Local Government Engineering Department,Directorate,Local Government Division,স্থানীয় সরকার বিভাগ,lged.gov.bd
366,বরিশাল সিটি কর্পোরেশন,Barishal city corporation,Others,Local Government Division,স্থানীয় সরকার বিভাগ,barishalcity.gov.bd
367,চট্টগ্রাম পানি সরবরাহ ও পয়:নিষ্কাশন কর্তৃপক্ষ,Chattogram Water Supply and Sewerage Authority,Others,Local Government Division,স্থানীয় সরকার বিভাগ,ctg-wasa.org.bd
368,চট্টগ্রাম সিটি কর্পোরেশন,Chittagong City Corporation,Others,Local Government Division,স্থানীয় সরকার বিভাগ,ccc.gov.bd
369,কুমিল্লা সিটি কর্পোরেশন,Comilla City Corporation,Others,Local Government Division,স্থানীয় সরকার বিভাগ,cocc.portal.gov.bd
370,ঢাকা মশক নিবারণী দপ্তর,Dhaka Mosquito Control Office,Others,Local Government Division,স্থানীয় সরকার বিভাগ,dmco.gov.bd
371,ঢাকা উত্তর সিটি কর্পোরেশন,Dhaka North City Corporation,Others,Local Government Division,স্থানীয় সরকার বিভাগ,dncc.gov.bd
372,ঢাকা দক্ষিণ সিটি কর্পোরেশন,Dhaka South City Corporation,Others,Local Government Division,স্থানীয় সরকার বিভাগ,dscc.gov.bd
373,ঢাকা ওয়াসা,Dhaka WASA,Others,Local Government Division,স্থানীয় সরকার বিভাগ,dwasa.gov.bd
374,গাজীপুর সিটি কর্পোরেশন,Gazipur City Corporation,Others,Local Government Division,স্থানীয় সরকার বিভাগ,gcc.gov.bd
375,খুলনা সিটি কর্পোরেশন,Khulna City Corporation,Others,Local Government Division,স্থানীয় সরকার বিভাগ,khulnacity.gov.bd
376,খুলনা ওয়াসা,Khulna WASA,Others,Local Government Division,স্থানীয় সরকার বিভাগ,kwasa.gov.bd
377,ময়মনসিংহ সিটি কর্পোরেশন,Mymensingh City Corporation,Others,Local Government Division,স্থানীয় সরকার বিভাগ,mcc.gov.bd
378,নারায়ণগঞ্জ সিটি কর্পোরেশন,Narayanganj City Corporation,Others,Local Government Division,স্থানীয় সরকার বিভাগ,ncc.gov.bd
379,জাতীয় স্থানীয় সরকার ইনস্টিটিউট,National Institute of Local Government,Others,Local Government Division,স্থানীয় সরকার বিভাগ,nilg.gov.bd
380,"রেজিস্ট্রার জেনারেলের কার্যালয়, জন্ম ও মৃত্যু নিবন্ধন","Office of the Registrar General, Birth and Death Registration",Others,Local Government Division,স্থানীয় সরকার বিভাগ,orgbdr.gov.bd
381,রাজশাহী সিটি কর্পোরেশন,Rajshahi City Corporation,Others,Local Government Division,স্থানীয় সরকার বিভাগ,erajshahi.portal.gov.bd
382,রাজশাহী ওয়াসা,Rajshahi WASA,Others,Local Government Division,স্থানীয় সরকার বিভাগ,rajshahiwasa.portal.gov.bd
383,রংপুর সিটি কর্পোরেশন,Rangpur City Corporation,Others,Local Government Division,স্থানীয় সরকার বিভাগ,rpcc.gov.bd
384,সিলেট সিটি কর্পোরেশন,Sylhet City Corporation,Others,Local Government Division,স্থানীয় সরকার বিভাগ,scc.gov.bd
385,পল্লী উন্নয়ন ও সমবায় বিভাগ,Rural Development and Co-operatives Division,Division,"Ministry of Local Government, Rural Development and Co-operatives","স্থানীয় সরকার, পল্লী উন্নয়ন ও সমবায় মন্ত্রণালয়",rdcd.gov.bd
386,সমবায় অধিদপ্তর,Department of Cooperatives,Directorate,Rural Development and Co-operatives Division,পল্লী উন্নয়ন ও সমবায় বিভাগ,coop.gov.bd
387,"বাংলাদেশ পল্লী উন্নয়ন একাডেমি (বার্ড), কুমিল্লা","Bangladesh Academy for Rural Development (BARD), Cumilla",Others,Rural Development and Co-operatives Division,পল্লী উন্নয়ন ও সমবায় বিভাগ,bard.gov.bd
388,বাংলাদেশ দুগ্ধ উৎপাদনকারী সমবায় ইউনিয়ন লিমিটেড,Bangladesh Milk Producer's Co-Operative Union Ltd.,Others,Rural Development and Co-operatives Division,পল্লী উন্নয়ন ও সমবায় বিভাগ,milkvita.org.bd
389,বাংলাদেশ জাতীয় পল্লী উন্নয়ন সমবায় ফেডারেশন,Bangladesh National Cooperative Federation for Rural Development,Others,Rural Development and Co-operatives Division,পল্লী উন্নয়ন ও সমবায় বিভাগ,bncfrd.portal.gov.bd
390,বাংলাদেশ পল্লী উন্নয়ন বোর্ড,Bangladesh Rural Development Board,Others,Rural Development and Co-operatives Division,পল্লী উন্নয়ন ও সমবায় বিভাগ,brdb.gov.bd
391,বাংলাদেশ সমবায় ব্যাংক লিমিটেড,Bangladesh Samabaya Bank Limited,Others,Rural Development and Co-operatives Division,পল্লী উন্নয়ন ও সমবায় বিভাগ,bsbl.org.bd
392,পল্লী দারিদ্র্য বিমোচন ফাউন্ডেশন (পিডিবিএফ),Palli Daridro Bimochon Foundation ( PDBF ),Others,Rural Development and Co-operatives Division,পল্লী উন্নয়ন ও সমবায় বিভাগ,pdbf.gov.bd
393,পল্লী উন্নয়ন একাডেমি (আরডিএ) বগুড়া,Rural Development Academy (RDA) Bogura,Others,Rural Development and Co-operatives Division,পল্লী উন্নয়ন ও সমবায় বিভাগ,rda.gov.bd
394,"পল্লী উন্নয়ন একাডেমি, গোপালগঞ্জ","Rural Development Academy, Gopalganj",Others,Rural Development and Co-operatives Division,পল্লী উন্নয়ন ও সমবায় বিভাগ,rdagopalganj.gov.bd
395,"পল্লী উন্নয়ন একাডেমী, জামালপুর।","Rural Development Academy, Jamalpur",Others,Rural Development and Co-operatives Division,পল্লী উন্নয়ন ও সমবায় বিভাগ,rda.jamalpur.gov.bd
396,"পল্লী উন্নয়ন একাডেমি, রংপুর","Rural Development Academy, Rangpur",Others,Rural Development and Co-operatives Division,পল্লী উন্নয়ন ও সমবায় বিভাগ,rda.rangpur.gov.bd
397,ক্ষুদ্র কৃষক উন্নয়ন ফাউন্ডেশন (এসএফডিএফ),Small Farmers Development Foundation (SFDF),Others,Rural Development and Co-operatives Division,পল্লী উন্নয়ন ও সমবায় বিভাগ,sfdf.gov.bd
398,পরিকল্পনা মন্ত্রণালয়,Ministry of Planning,Ministry/Division,,,mop.gov.bd
399,বাংলাদেশ পরিকল্পনা কমিশন,Bangladesh Planning Commission,Division,Ministry of Planning,পরিকল্পনা মন্ত্রণালয়,plancomm.gov.bd
400,বাস্তবায়ন পরিবীক্ষণ ও মূল্যায়ন বিভাগ,Implementation Monitoring and Evaluation Division,Division,Ministry of Planning,পরিকল্পনা মন্ত্রণালয়,imed.gov.bd
401,বাংলাদেশ পাবলিক প্রকিউরমেন্ট অথরিটি,Bangladesh Public Procurement Authority,Others,Implementation Monitoring and Evaluation Division,বাস্তবায়ন পরিবীক্ষণ ও মূল্যায়ন বিভাগ,bppa.gov.bd
402,পরিকল্পনা বিভাগ,Planning Division,Division,Ministry of Planning,পরিকল্পনা মন্ত্রণালয়,plandiv.gov.bd
403,বাংলাদেশ উন্নয়ন গবেষণা প্রতিষ্ঠান (বিআইডিএস),Bangladesh Institute of Development Studies (BIDS),Others,Planning Division,পরিকল্পনা বিভাগ,bids.gov.bd
404,সামাজিকবিজ্ঞান গবেষণা পরিষদ,Social Science Research Council,Others,Planning Division,পরিকল্পনা বিভাগ,ssrc.portal.gov.bd
405,পরিসংখ্যান ও তথ্য ব্যবস্থাপনা বিভাগ,Statistics and Informatics Division,Division,Ministry of Planning,পরিকল্পনা মন্ত্রণালয়,sid.gov.bd
406,বাংলাদেশ পরিসংখ্যান ব্যুরো,Bangladesh Bureau of Statistics,Others,Statistics and Informatics Division,পরিসংখ্যান ও তথ্য ব্যবস্থাপনা বিভাগ,bbs.gov.bd
407,"ডাক, টেলিযোগাযোগ ও তথ্যপ্রযুক্তি মন্ত্রণালয়","Ministry of Posts, Telecommunications and Information Technology",Ministry/Division,,,moptit.gov.bd
408,তথ্য ও যোগাযোগ প্রযুক্তি বিভাগ,ICT Division,Division,"Ministry of Posts, Telecommunications and Information Technology","ডাক, টেলিযোগাযোগ ও তথ্যপ্রযুক্তি মন্ত্রণালয়",ictd.gov.bd
409,তথ্য ও যোগাযোগ প্রযুক্তি অধিদপ্তর,Department of ICT,Directorate,ICT Division,তথ্য ও যোগাযোগ প্রযুক্তি বিভাগ,doict.gov.bd
410,এসপায়ার টু ইনোভেট (এটুআই),Aspire to Innovate (a2i),Others,ICT Division,তথ্য ও যোগাযোগ প্রযুক্তি বিভাগ,a2i.gov.bd
411,বাংলাদেশ কম্পিউটার কাউন্সিল (বিসিসি),Bangladesh Computer Council (BCC),Others,ICT Division,তথ্য ও যোগাযোগ প্রযুক্তি বিভাগ,bcc.gov.bd
412,বাংলাদেশ ডাটা সেন্টার কোম্পানি লিমিটেড (বিডিসিসিএল),Bangladesh Data Center Company Limited (BDCCL),Others,ICT Division,তথ্য ও যোগাযোগ প্রযুক্তি বিভাগ,bdccl.gov.bd
413,বাংলাদেশ হাই-টেক পার্ক কর্তৃপক্ষ,Bangladesh Hi-Tech Park Authority,Others,ICT Division,তথ্য ও যোগাযোগ প্রযুক্তি বিভাগ,bhtpa.gov.bd
414,জাতীয় সাইবার সুরক্ষা এজেন্সি,National Cyber Security Agency,Others,ICT Division,তথ্য ও যোগাযোগ প্রযুক্তি বিভাগ,dsa.portal.gov.bd
415,কন্ট্রোলার অব সার্টিফাইং অথরিটিজ,Office of the Controller of Certifying Authorities (CCA),Others,ICT Division,তথ্য ও যোগাযোগ প্রযুক্তি বিভাগ,cca.gov.bd
416,স্টার্ট আপ বাংলাদেশ লিমিটেড,Startup Bangladesh Limited,Others,ICT Division,তথ্য ও যোগাযোগ প্রযুক্তি বিভাগ,startupbangladesh.vc
417,ডাক ও টেলিযোগাযোগ বিভাগ,Posts and Telecommunications Division,Division,"Ministry of Posts, Telecommunications and Information Technology","ডাক, টেলিযোগাযোগ ও তথ্যপ্রযুক্তি মন্ত্রণালয়",ptd.gov.bd
418,টেলিযোগাযোগ অধিদপ্তর,Department of Telecommunications,Directorate,Posts and Telecommunications Division,ডাক ও টেলিযোগাযোগ বিভাগ,telecomdept.gov.bd
419,ডাক অধিদপ্তর,Directorate Of Posts,Directorate,Posts and Telecommunications Division,ডাক ও টেলিযোগাযোগ বিভাগ,bdpost.gov.bd
420,বাংলাদেশ ক্যাবল শিল্প লিমিটেড,Bangladesh Cable Shilpa Ltd,Others,Posts and Telecommunications Division,ডাক ও টেলিযোগাযোগ বিভাগ,bcsl.gov.bd
421,বাংলাদেশ স্যাটেলাইট কোম্পানি লিমিটেড,Bangladesh Satellite Company Ltd.,Others,Posts and Telecommunications Division,ডাক ও টেলিযোগাযোগ বিভাগ,bscl.portal.gov.bd
422,বাংলাদেশ সাবমেরিন ক্যাবলস পিএলসি,Bangladesh Submarine Cables PLC (BSCPLC),Others,Posts and Telecommunications Division,ডাক ও টেলিযোগাযোগ বিভাগ,bscplc.gov.bd
423,বাংলাদেশ টেলিযোগাযোগ রেগুলেটরি কমিশন,Bangladesh Telecommunication Regulatory Commission,Others,Posts and Telecommunications Division,ডাক ও টেলিযোগাযোগ বিভাগ,btrc.gov.bd
424,বাংলাদেশ টেলিকমিউনিকেশনস কোম্পানি লিমিটেড,Bangladesh Telecommunications Company Limited(BTCL),Others,Posts and Telecommunications Division,ডাক ও টেলিযোগাযোগ বিভাগ,btcl.gov.bd
425,মেইলিং অপারেটর ও কুরিয়ার সার্ভিস লাইসেন্সিং কর্তৃপক্ষ,Mailing Operator and Courier Service Licensing Authority,Others,Posts and Telecommunications Division,ডাক ও টেলিযোগাযোগ বিভাগ,mocsla.portal.gov.bd
426,টেলিফোন শিল্প সংস্থা লিমিটেড,Telephone Shilpa Sangstha Limited,Others,Posts and Telecommunications Division,ডাক ও টেলিযোগাযোগ বিভাগ,tss.gov.bd
427,টেলিটক বাংলাদেশ লি:,Teletalk Bangladesh Ltd.,Others,Posts and Telecommunications Division,ডাক ও টেলিযোগাযোগ বিভাগ,teletalk.gov.bd
428,ধর্ম বিষয়ক মন্ত্রণালয়,Ministry of Religious Affairs,Ministry/Division,,,mora.gov.bd
429,"বাংলাদেশ হজ অফিস, জেদ্দা","Bangladesh Haj Office, Jeddah",Others,Ministry of Religious Affairs,ধর্ম বিষয়ক মন্ত্রণালয়,haj-jeddah.portal.gov.bd
430,ইসলামিক ফাউন্ডেশন,Bangladesh Islamic Foundation,Others,Ministry of Religious Affairs,ধর্ম বিষয়ক মন্ত্রণালয়,islamicfoundation.gov.bd
431,বৌদ্ধ ধর্মীয় কল্যাণ ট্রাস্ট,Buddhist Religious Welfare Trust,Others,Ministry of Religious Affairs,ধর্ম বিষয়ক মন্ত্রণালয়,brwt.gov.bd
432,"হজ অফিস, ঢাকা","Haj Office, Dhaka",Others,Ministry of Religious Affairs,ধর্ম বিষয়ক মন্ত্রণালয়,hajoffice.gov.bd
433,হিন্দু ধর্মীয় কল্যাণ ট্রাস্ট,Hindu Religious Welfare Trust,Others,Ministry of Religious Affairs,ধর্ম বিষয়ক মন্ত্রণালয়,hindutrust.gov.bd
434,বাংলাদেশ ওয়াক্‌ফ প্রশাসকের কার্যালয়,Office of the Administrator of Waqfs Bangladesh,Others,Ministry of Religious Affairs,ধর্ম বিষয়ক মন্ত্রণালয়,waqf.gov.bd
435,খ্রিস্টান ধর্মীয় কল্যাণ ট্রাস্ট,THE CHRISTIAN RELIGIOUS WELFARE TRUST (CRWT),Others,Ministry of Religious Affairs,ধর্ম বিষয়ক মন্ত্রণালয়,crwt.gov.bd
436,দুর্যোগ ব্যবস্থাপনা ও ত্রাণ মন্ত্রণালয়,Ministry of Disaster Management and Relief,Ministry/Division,,,modmr.gov.bd
437,দুর্যোগ ব্যবস্থাপনা অধিদপ্তর,Department Of Disaster Management,Directorate,Ministry of Disaster Management and Relief,দুর্যোগ ব্যবস্থাপনা ও ত্রাণ মন্ত্রণালয়,ddm.gov.bd
438,ঘূর্ণিঝড় প্রস্তুতি কর্মসূচি (সিপিপি),Cyclone Preparedness Programme (CPP),Others,Ministry of Disaster Management and Relief,দুর্যোগ ব্যবস্থাপনা ও ত্রাণ মন্ত্রণালয়,cpp.gov.bd
439,জাতীয় দুর্যোগ ব্যবস্থাপনা তথ্য বাতায়ন,National Disaster Management Information System (NDMIS),Others,Ministry of Disaster Management and Relief,দুর্যোগ ব্যবস্থাপনা ও ত্রাণ মন্ত্রণালয়,ndmis.gov.bd
440,শরণার্থী ত্রাণ ও প্রত্যাবাসন কমিশনারের কার্যালয়,Office of The Refugee Relief and Repatriation Commissioner,Others,Ministry of Disaster Management and Relief,দুর্যোগ ব্যবস্থাপনা ও ত্রাণ মন্ত্রণালয়,rrrc.gov.bd
441,নৌপরিবহন মন্ত্রণালয়,Ministry of Shipping,Ministry/Division,,,mos.gov.bd
442,নৌপরিবহন অধিদপ্তর,Department of Shipping,Directorate,Ministry of Shipping,নৌপরিবহন মন্ত্রণালয়,dos.gov.bd
443,বাংলাদেশ অভ্যন্তরীণ নৌ-পরিবহন কর্তৃপক্ষ,Bangladesh Inland Water Transport Authority,Others,Ministry of Shipping,নৌপরিবহন মন্ত্রণালয়,biwta.gov.bd
444,বাংলাদেশ অভ্যন্তরীণ নৌ-পরিবহন করপোরেশন,Bangladesh Inland Water Transport Corporation,Others,Ministry of Shipping,নৌপরিবহন মন্ত্রণালয়,biwtc.gov.bd
445,বাংলাদেশ স্থলবন্দর কর্তৃপক্ষ,Bangladesh Land Port Authority,Others,Ministry of Shipping,নৌপরিবহন মন্ত্রণালয়,blpa.gov.bd
446,বাংলাদেশ মেরিন একাডেমী,Bangladesh Marine Academy,Others,Ministry of Shipping,নৌপরিবহন মন্ত্রণালয়,macademy.gov.bd
447,"বাংলাদেশ মেরিন একাডেমি, বরিশাল","Bangladesh Marine Academy, Barishal",Others,Ministry of Shipping,নৌপরিবহন মন্ত্রণালয়,macademybarishal.gov.bd
448,"বাংলাদেশ মেরিন একাডেমি, পাবনা","Bangladesh Marine Academy, Pabna",Others,Ministry of Shipping,নৌপরিবহন মন্ত্রণালয়,macademypabna.gov.bd
449,"বাংলাদেশ মেরিন একাডেমি, রংপুর","Bangladesh Marine Academy, Rangpur",Others,Ministry of Shipping,নৌপরিবহন মন্ত্রণালয়,macademyrangpur.gov.bd
450,"বাংলাদেশ মেরিন একাডেমি, সিলেট","Bangladesh Marine Academy, Sylhet",Others,Ministry of Shipping,নৌপরিবহন মন্ত্রণালয়,macademysylhet.gov.bd
451,বাংলাদেশ শিপিং কর্পোরেশন,Bangladesh Shipping Corporation,Others,Ministry of Shipping,নৌপরিবহন মন্ত্রণালয়,bsc.portal.gov.bd
452,চট্টগ্রাম বন্দর কর্তৃপক্ষ,Chittagong Port Authority,Others,Ministry of Shipping,নৌপরিবহন মন্ত্রণালয়,cpa.gov.bd
453,নাবিক কল্যাণ পরিদপ্তর,Directorate of Seafarers Welfare,Others,Ministry of Shipping,নৌপরিবহন মন্ত্রণালয়,dsw.gov.bd
454,মোংলা বন্দর কর্তৃপক্ষ,Mongla Port Authority,Others,Ministry of Shipping,নৌপরিবহন মন্ত্রণালয়,mpa.gov.bd
455,ন্যাশনাল মেরিটাইম ইনস্টিটিউট,National Maritime Institute,Others,Ministry of Shipping,নৌপরিবহন মন্ত্রণালয়,nmi.gov.bd
456,জাতীয় নদী রক্ষা কমিশন,National River Conservation Commission.,Others,Ministry of Shipping,নৌপরিবহন মন্ত্রণালয়,nrcc.gov.bd
457,পায়রা বন্দর কর্তৃপক্ষ,Payra Port Authority,Others,Ministry of Shipping,নৌপরিবহন মন্ত্রণালয়,ppa.gov.bd
458,সমাজকল্যাণ মন্ত্রণালয়,Ministry of Social Welfare,Ministry/Division,,,msw.gov.bd
459,সমাজসেবা অধিদপ্তর,Department of Social Services,Directorate,Ministry of Social Welfare,সমাজকল্যাণ মন্ত্রণালয়,dss.gov.bd
460,বাংলাদেশ জাতীয় সমাজকল্যাণ পরিষদ,Bangladesh National Social Welfare Council,Others,Ministry of Social Welfare,সমাজকল্যাণ মন্ত্রণালয়,bnswc.gov.bd
461,বাংলাদেশ রিহ্যাবিলিটেশন কাউন্সিল,Bangladesh Rehabilitation Council,Others,Ministry of Social Welfare,সমাজকল্যাণ মন্ত্রণালয়,brc.portal.gov.bd
462,জাতীয় প্রতিবন্ধী উন্নয়ন ফাউন্ডেশন,National Foundation for Development of the Disabled Persons,Others,Ministry of Social Welfare,সমাজকল্যাণ মন্ত্রণালয়,jpuf.gov.bd
463,নিউরো-ডেভেলপমেন্টাল প্রতিবন্ধী সুরক্ষা ট্রাস্ট,Neuro-Developmental Disabilities Protection Trust,Others,Ministry of Social Welfare,সমাজকল্যাণ মন্ত্রণালয়,nddtrust.gov.bd
464,"শারীরিক প্রতিবন্ধী সুরক্ষা ট্রাস্ট, মৈত্রী শিল্প",Physically Disabled Protection Trust,Others,Ministry of Social Welfare,সমাজকল্যাণ মন্ত্রণালয়,spst.portal.gov.bd
465,শেখ জায়েদ বিন সুলতান আল নাহিয়ান ট্রাস্ট,Sheikh Zayed Bin Sultan Al Nahiyan Trust,Others,Ministry of Social Welfare,সমাজকল্যাণ মন্ত্রণালয়,alnahyantrust.gov.bd
466,মহিলা ও শিশু বিষয়ক মন্ত্রণালয়,Ministry of Women and Children Affairs,Ministry/Division,,,mowca.gov.bd
467,মহিলা বিষয়ক অধিদপ্তর,Department of Women Affairs,Directorate,Ministry of Women and Children Affairs,মহিলা ও শিশু বিষয়ক মন্ত্রণালয়,dwa.gov.bd
468,ডিএনএ ল্যাবরেটরী ব্যবস্থাপনা অধিদপ্তর,Directorate of DNA Laboratory Management,Directorate,Ministry of Women and Children Affairs,মহিলা ও শিশু বিষয়ক মন্ত্রণালয়,ddlm.portal.gov.bd
469,বাংলাদেশ শিশু একাডেমি,Bangladesh Shishu Academy,Others,Ministry of Women and Children Affairs,মহিলা ও শিশু বিষয়ক মন্ত্রণালয়,shishuacademy.gov.bd
470,জাতীয় মহিলা সংস্থা,Jatiyo Mohila Sangstha,Others,Ministry of Women and Children Affairs,মহিলা ও শিশু বিষয়ক মন্ত্রণালয়,jms.gov.bd
